"Code";"Groupe";"Nom français";"Nom scientifique";"Risque d'erreur (%)";"TriGroupe";"01";"29";"30";"31";"01/04/2019.y";"29/03/2019.y";"30/03/2019.y";"31/03/2019.y"
"Hypsav";"Chauve-souris";"Vespere de Savi";"Hypsugo savii";"2";3;2;0;0;0;2;NA;NA;NA
"Minsch";"Chauve-souris";"Minioptere";"Miniopterus schreibersii";"21";3;0;0;0;1;NA;NA;NA;1
"Myoema";"Chauve-souris";"Murin a oreilles echancrees";"Myotis emarginatus";"10";3;0;1;0;0;NA;1;NA;NA
"Pipkuh";"Chauve-souris";"Pipistrelle de Kuhl";"Pipistrellus kuhlii";"6";3;0;1;2;3;NA;1;1;1
"Pipnat";"Chauve-souris";"Pipistrelle de Nathusius";"Pipistrellus nathusii";"8";3;5;0;1;0;2;NA;1;NA
"Pippip";"Chauve-souris";"Pipistrelle commune";"Pipistrellus pipistrellus";"1";3;24;0;1;2;2;NA;1;1
"Pippyg";"Chauve-souris";"Pipistrelle soprane";"Pipistrellus pygmaeus";"1";3;5;0;2;5;2;NA;1;2
"Pleaus";"Chauve-souris";"Oreillard gris";"Plecotus austriacus";"30";3;0;0;0;1;NA;NA;NA;1
"Rhifer";"Chauve-souris";"Grand Rhinolophe";"Rhinolophus ferrumequinum";"1";3;0;0;0;1;NA;NA;NA;1
"Rhihip";"Chauve-souris";"Petit Rhinolophe";"Rhinolophus hipposideros";"1";3;18;28;26;31;3;3;3;3
"Tadten";"Chauve-souris";"Molosse";"Tadarida teniotis";"1";3;0;0;5;3;NA;NA;2;2
"Eupsp";"Sauterelle";"Decticelle splendide";"Eupholidoptera sp.";"81";2;0;0;1;0;NA;NA;NA;NA
"Phogri";"Sauterelle";"Decticelle cendree";"Pholidoptera griseoaptera";"78";2;0;3;1;0;NA;2;1;NA
"Mimasp";"Autre";"Micromammifère sp.";"Small mammal spp";"1";1;0;0;1;0;NA;NA;NA;NA
"amph";"Autre";"Amphibien sp.";"Amphibia sp.";"40";1;0;0;0;1;NA;NA;NA;NA
"buzz";"Autre";"bourdonnement";"insect wingbeats";"1";1;1;3;1;2;NA;NA;NA;NA
"mec";"Autre";"autre bruit";"mechanical noise";"1";1;1;10;10;2;NA;NA;NA;NA
"noise";"Autre";"bruit";"noise";"1";1;252;2397;3402;4526;1;2;3;3
"piaf";"Autre";"Oiseau sp.";"Aves sp.";"1";1;0;15;31;7;NA;2;2;1
"wind";"Autre";"vent";"wind";"1";1;0;1;0;1;NA;NA;NA;NA
